Timestamp,Voltage (V),Current (A),Power Consumption (kW),Reactive Power (kVAR),Power Factor,Solar Power (kW),Wind Power (kW),Grid Supply (kW),Voltage Fluctuation (%),Overload Condition,Transformer Fault,Temperature (°C),Humidity (%),Electricity Price (USD/kWh),Predicted Load (kW)
1/1/2024 0:00,232.4835708,5.124672741,1.191402218,0.399029154,0.907765528,46.61484531,26.39956605,0,1.055937052,0,0,17.84276706,64.52335267,0.416156411,1.233158422
1/1/2024 0:15,229.3086785,22.21351868,5.093752614,1.248030013,0.831813332,6.907169503,18.55501127,0,-3.910901834,1,0,18.75369823,49.6719396,0.492334365,5.24782424
1/1/2024 0:30,233.2384427,46.13221716,10.75980649,2.790463577,0.999005396,15.47763994,12.90502503,0,-0.197550508,0,0,16.71932518,48.47276856,0.427784995,10.5802783
1/1/2024 0:45,237.6151493,47.64897167,11.32211752,1.956965254,0.896462351,35.74639831,28.93712894,0,2.67192147,0,0,15.36456383,75.76677629,0.487953058,11.22594596
1/1/2024 1:00,228.8292331,7.410166176,1.695662643,0.624718167,0.870680778,27.55503788,14.18464814,0,3.826937061,0,0,38.76033346,61.38421275,0.290078296,1.696639053
1/1/2024 1:15,228.8293152,10.55400862,2.415066564,0.935852812,0.970003441,46.02933865,25.88770266,0,2.201227406,0,0,25.96980619,50.43747387,0.469708515,2.48232092
1/1/2024 1:30,237.8960641,5.219165527,1.241618937,0.368005332,0.962855425,21.53642715,13.1287207,0,-0.800184705,1,0,31.40675629,74.00103334,0.255648429,1.22906541
1/1/2024 1:45,233.8371736,44.09031705,10.30995512,1.500174491,0.846778559,11.04182837,7.978981976,0,4.36145673,0,0,23.17963078,44.94522132,0.421238362,10.77603391
1/1/2024 2:00,227.6526281,8.189880162,1.864447742,0.485410726,0.968598141,3.752725099,3.92713264,0,4.481335396,0,0,24.57609033,26.95697448,0.431230408,1.807543709
1/1/2024 2:15,232.7128002,9.85550685,2.293502597,0.43745921,0.856682355,24.41706164,29.4375113,0,0.468040955,1,0,11.23552208,26.66984982,0.169219265,2.297330097
1/1/2024 2:30,227.6829115,15.24301923,3.470574999,0.816485466,0.813529022,39.8914351,6.225916881,0,-0.427616413,0,0,38.67690961,33.98697559,0.193813287,3.357168022
1/1/2024 2:45,227.6713512,46.27622982,10.53577177,3.185620073,0.806709243,6.834522068,18.94709765,0,1.884990099,0,0,12.57159246,52.72370346,0.18776036,10.04442318
1/1/2024 3:00,231.2098114,35.97053033,8.316739532,1.00807862,0.90414057,43.7021933,2.922127559,0,-0.191669317,0,0,12.81124534,33.73286389,0.49867085,8.222846006
1/1/2024 3:15,220.4335988,32.75966119,7.221330011,1.162561881,0.867908898,38.04448205,5.224379325,0,1.170739402,0,0,27.91844018,30.23650722,0.483886639,6.991575161
1/1/2024 3:30,221.3754108,40.30956076,8.923545573,2.899820175,0.952795851,7.287042994,22.7826586,0,3.311595424,0,0,15.302827,57.47805245,0.13121083,9.04864668
1/1/2024 3:45,227.1885624,36.19780239,8.223726686,0.916539076,0.907161267,32.59878639,29.74558393,0,-4.796400074,1,0,32.66691011,66.87816575,0.420858727,8.601984502
1/1/2024 4:00,224.9358444,38.56670693,8.675034789,2.43386412,0.955786678,27.3482965,24.4137687,0,0.916133228,0,1,21.00310554,74.95945902,0.323891134,8.637637498
1/1/2024 4:15,231.5712367,8.314539741,1.92540825,0.346920723,0.93739716,12.18893287,28.1807325,0,-3.305184175,0,0,18.71912187,28.2738608,0.497403769,1.921659234
1/1/2024 4:30,225.4598796,31.53943834,7.110877971,2.636327783,0.997138356,28.07493659,29.36039233,0,-2.981822368,0,0,37.13534407,35.43341028,0.281159402,6.876800383
1/1/2024 4:45,222.9384815,38.89432793,8.671042407,3.034261036,0.896306688,0.433242627,23.62257506,0,2.33349459,0,0,12.6437344,60.07645274,0.271136811,8.345163283
1/1/2024 5:00,237.3282438,30.45463791,7.227745733,2.716191067,0.867710563,1.832131715,2.767822247,2.627791771,0.469352863,0,0,34.58373786,62.51083658,0.404810008,7.488723096
1/1/2024 5:15,228.8711185,5.530769301,1.265833356,0.162228308,0.836452213,28.87963809,21.35792772,0,-3.528706204,0,0,25.03969729,42.00123332,0.206598295,1.289903732
1/1/2024 5:30,230.337641,14.50039503,3.339986784,1.330701352,0.931562435,11.31122056,0.661787842,0,-4.787429241,0,0,35.8798666,33.41909723,0.203774076,3.419429689
1/1/2024 5:45,222.8762591,48.33049987,10.77172101,1.540885716,0.907832465,28.08112237,27.9235614,0,-1.356241687,0,0,36.56768015,37.13749392,0.442124227,10.89163565
1/1/2024 6:00,227.2780864,36.71125884,8.343664658,3.012377207,0.941534623,25.6314756,20.88574779,0,-0.17008825,0,0,28.16169773,71.544466,0.230183439,8.743042473
1/1/2024 6:15,230.5546129,35.98272054,8.295982207,1.765306631,0.956539142,31.55608908,24.99828605,0,-4.421229681,0,0,17.98480744,49.62890816,0.153111133,8.369162483
1/1/2024 6:30,224.2450321,34.71135988,7.783850011,3.008698028,0.930316595,4.263404859,29.86607611,0,-0.933526551,0,0,13.01613128,27.83017345,0.17996949,7.643945569
1/1/2024 6:45,231.8784901,10.75136001,2.493009125,0.250079261,0.963686692,23.43335046,8.029365355,0,3.799785996,0,0,22.49720479,23.28620153,0.302686333,2.589522843
1/1/2024 7:00,226.9968066,5.183725145,1.176689054,0.3609507,0.842436378,13.57231038,20.7917288,0,3.795958301,0,0,27.65394917,31.48786355,0.269659491,1.171304213
1/1/2024 7:15,228.5415313,24.82935431,5.674538655,2.262425055,0.980154231,27.8527705,1.837760807,0,4.751285004,0,0,23.23573266,22.92129469,0.43358689,5.862230863
1/1/2024 7:30,226.9914669,24.99459822,5.673560515,1.748365178,0.847832657,37.41590975,28.13298568,0,-1.033764596,0,0,25.85373256,53.20946639,0.41255538,5.876911068
1/1/2024 7:45,239.2613909,41.5312453,9.936823518,3.099921582,0.866470658,23.56903124,5.274051794,0,-1.520350445,0,0,36.00998071,40.54400454,0.408088989,9.693436576
1/1/2024 8:00,229.9325139,13.17053824,3.028334966,0.909029401,0.825113521,22.47913369,17.06211593,0,-3.716308096,0,0,18.00476812,71.17160472,0.420192185,2.937712419
1/1/2024 8:15,224.7114454,17.38000234,3.905485446,1.538026242,0.835341993,7.39045865,13.457562,0,-3.128083939,0,0,16.50892315,51.54859537,0.35025448,3.841280885
1/1/2024 8:30,234.1127246,8.520904926,1.994852268,0.628940639,0.94093717,40.81549176,0.93677719,0,4.780479814,0,0,32.78654264,31.90359675,0.137969119,2.05856075
1/1/2024 8:45,223.8957818,22.99437659,5.148343922,1.282352765,0.829374054,7.88341525,0.453977973,0,-2.834312496,0,0,36.9660999,59.78056008,0.184536209,4.926068197
1/1/2024 9:00,231.044318,16.51953868,3.816745548,0.665370817,0.997500012,6.358895419,10.07150567,0,0.49851331,0,0,35.61067848,34.00014266,0.101349193,3.759651494
1/1/2024 9:15,220.2016494,16.83031299,3.706062679,1.234485572,0.988646351,38.58749027,4.214389908,0,-0.063070385,0,0,18.43705621,78.10739199,0.317843233,3.56785733
1/1/2024 9:30,223.3590698,16.43238892,3.670323103,0.544334687,0.813684594,48.74399316,27.05997202,0,-1.791050878,0,0,18.049802,21.63730256,0.397211278,3.594609341
1/1/2024 9:45,230.9843062,15.41833291,3.56139293,0.422524825,0.957873554,8.703960001,28.04640216,0,1.859836507,0,0,18.10960573,68.25418501,0.168004816,3.429406716
1/1/2024 10:00,233.6923329,19.39068636,4.531454733,1.490556348,0.875613499,22.12969084,14.09701264,0,2.626595428,0,0,12.11021856,68.52744485,0.1031691,4.437380229
1/1/2024 10:15,230.8568414,29.15105742,6.729721039,1.417617516,0.961438259,2.938504488,20.52640733,0,0.328766982,0,0,28.29318969,26.60469664,0.447263442,6.527165612
1/1/2024 10:30,229.4217586,24.69696247,5.666020562,0.927242598,0.813259129,48.50520053,8.306758177,0,2.139018746,0,0,12.98666871,37.27080675,0.312793846,5.650325138
1/1/2024 10:45,228.4944815,7.855113255,1.794850031,0.592451847,0.924863965,32.51284894,25.83033095,0,0.9930992,0,0,31.21362721,45.3770799,0.200797159,1.828618062
1/1/2024 11:00,222.60739,24.16369387,5.379016826,1.938005333,0.943424221,41.98158435,15.26012804,0,2.244065849,0,0,34.58812408,54.54043578,0.251711882,5.384208923
